n_gram,count
join playing coinhuntworld,25425
playing coinhuntworld awesome,25365
coinhuntworld awesome cryptocurrency,25340
location join playing,25128
vault location join,25122
airdrop bsc bitcoin,24942
bsc bitcoin eth,22928
airdrop airdrop airdropinspector,21973
btc ln lightningnetwork,19527
ln lightningnetwork boltcoiner,19431
free lightning sat,19427
bitcoin user vault,18090
found bitcoin user,18043
user vault location,18023
current bitcoin price,17157
airdrop airdropinspector bsc,16458
tweet tip seriously,15745
hopefully project better,15577
bitcoin crypto blockchain,15282
tip seriously amp,15032
